RequestID,RequesterName,CertificateTemplate,CertificateIssuedCommonName,CertificateSubject,CertificateSANs,EnhancedKeyUsage,CertificateValidityStart,CertificateValidityEnd,SerialNumber,RequestSubmissionTime,RequestDisposition,EKU,Abuse_Flag
20090,contoso.com\brandy.potter,UnknownTemplate,Brandy Potter,"CN=Brandy Potter, OU=Finance, DC=intra.contoso.local","URI:https://contoso.com/users/brandy.potter, UPN:brandy.potter@contoso.com, URI:https://contoso.com/users/brandy.potter",UnknownUsage,2023-07-31 17:33:47,2025-07-30 17:33:47,1000291,2023-07-31 17:33:47,Issued,UnknownUsage,
21277,contoso.com\cathyh,EncryptionCertificate,Cathy Hall,"CN=Cathy Hall, OU=HR, DC=intra.contoso.local",RFC822:cathyh@contoso.com,Secure Email,2024-03-08 23:48:21,2026-03-08 23:48:21,1000860,2024-03-08 23:48:21,Issued,Secure Email,
21430,contoso.com\ckim,MachineCertificate,Christian Kim,"CN=Christian Kim, OU=HR, DC=intra.contoso.local","UPN:ckim@contoso.com, RFC822:ckim@contoso.com","Client Authentication, Server Authentication",2024-12-25 17:04:37,2026-12-25 17:04:37,1000171,2024-12-25 17:04:37,Issued,"Client Authentication, Server Authentication",
20266,contoso.com\ann.sims,MachineCertificate,Ann Sims,"CN=Ann Sims, OU=Legal, DC=intra.contoso.local","UPN:ann.sims@contoso.com, URI:https://contoso.com/users/ann.sims","Client Authentication, Server Authentication",2023-07-16 10:02:26,2025-07-15 10:02:26,1000778,2023-07-16 10:02:26,Issued,"Client Authentication, Server Authentication",
20559,contoso.com\brodriguez,UserCertificate,Brent Rodriguez,"CN=Brent Rodriguez, OU=HR, DC=intra.contoso.local","URI:https://contoso.com/users/brodriguez, UPN:brodriguez@contoso.com, RFC822:brodriguez@contoso.com","Client Authentication, Secure Email",2024-09-28 01:50:30,2026-09-28 01:50:30,1000980,2024-09-28 01:50:30,Issued,"Client Authentication, Secure Email",
20869,contoso.com\hr-pc523$,UnknownTemplate,hr-pc523.intra.contoso.local,CN=hr-pc523.intra.contoso.local,"IP:10.18.85.214, DNS:hr-pc523.intra.contoso.local",UnknownUsage,2023-12-16 00:08:13,2025-12-15 00:08:13,1000584,2023-12-16 00:08:13,Issued,UnknownUsage,
21832,contoso.com\sal-pc199$,VPNCertificate,sal-pc199.intra.contoso.local,CN=sal-pc199.intra.contoso.local,"DNS:sal-pc199.intra.contoso.local, DNS:sal-pc199.intra.contoso.local",Client Authentication,2023-04-24 05:17:06,2025-04-23 05:17:06,1000547,2023-04-24 05:17:06,Issued,Client Authentication,
20968,contoso.com\mar-pc741$,CodeSigningCertificate,mar-pc741.intra.contoso.local,CN=mar-pc741.intra.contoso.local,"DNS:mar-pc741.intra.contoso.local, IP:10.246.205.101",Code Signing,2024-05-28 01:32:53,2026-05-28 01:32:53,1000972,2024-05-28 01:32:53,Issued,Code Signing,
20161,contoso.com\epierce,UserCertificate,Eric Pierce,"CN=Eric Pierce, OU=Engineering, DC=intra.contoso.local","RFC822:epierce@contoso.com, URI:https://contoso.com/users/epierce","Client Authentication, Secure Email",2024-01-09 15:04:56,2026-01-08 15:04:56,1000752,2024-01-09 15:04:56,Issued,"Client Authentication, Secure Email",
21760,contoso.com\shannonm,UnknownTemplate,Shannon Miller,"CN=Shannon Miller, OU=Marketing, DC=intra.contoso.local","UPN:shannonm@contoso.com, URI:https://contoso.com/users/shannonm",UnknownUsage,2024-09-26 21:27:01,2026-09-26 21:27:01,1000627,2024-09-26 21:27:01,Issued,UnknownUsage,
20576,contoso.com\leg-pc568$,MachineCertificate,leg-pc568.intra.contoso.local,CN=leg-pc568.intra.contoso.local,"IP:192.168.59.95, DNS:leg-pc568.intra.contoso.local, IP:172.17.150.182","Client Authentication, Server Authentication",2023-11-12 11:41:50,2025-11-11 11:41:50,1000330,2023-11-12 11:41:50,Issued,"Client Authentication, Server Authentication",
21596,contoso.com\hr-pc996$,MachineCertificate,hr-pc996.intra.contoso.local,CN=hr-pc996.intra.contoso.local,"IP:192.168.119.139, DNS:hr-pc996.intra.contoso.local, DNS:hr-pc996.intra.contoso.local","Client Authentication, Server Authentication",2024-12-08 15:22:47,2026-12-08 15:22:47,1000184,2024-12-08 15:22:47,Issued,"Client Authentication, Server Authentication",
21428,contoso.com\cherylaustin,MachineCertificate,Cheryl Austin,"CN=Cheryl Austin, OU=Engineering, DC=intra.contoso.local","UPN:cherylaustin@contoso.com, UPN:cherylaustin@contoso.com","Client Authentication, Server Authentication",2024-02-12 21:57:46,2026-02-11 21:57:46,1000397,2024-02-12 21:57:46,Issued,"Client Authentication, Server Authentication",
21054,contoso.com\fin-pc185$,UnknownTemplate,fin-pc185.intra.contoso.local,CN=fin-pc185.intra.contoso.local,"IP:10.30.115.210, DNS:fin-pc185.intra.contoso.local, DNS:fin-pc185.intra.contoso.local",UnknownUsage,2024-06-28 14:33:34,2026-06-28 14:33:34,1000113,2024-06-28 14:33:34,Issued,UnknownUsage,
21594,contoso.com\daryl.ramirez,DomainControllerCertificate,Daryl Ramirez,"CN=Daryl Ramirez, OU=Legal, DC=intra.contoso.local","URI:https://contoso.com/users/daryl.ramirez, URI:https://contoso.com/users/daryl.ramirez, RFC822:daryl.ramirez@contoso.com","Client Authentication, Server Authentication",2023-06-20 07:23:56,2025-06-19 07:23:56,1000356,2023-06-20 07:23:56,Issued,"Client Authentication, Server Authentication",
21694,contoso.com\eng-pc777$,MachineCertificate,eng-pc777.intra.contoso.local,CN=eng-pc777.intra.contoso.local,"IP:172.22.197.37, DNS:eng-pc777.intra.contoso.local, IP:172.31.109.126","Client Authentication, Server Authentication",2024-10-03 18:11:59,2026-10-03 18:11:59,1000126,2024-10-03 18:11:59,Issued,"Client Authentication, Server Authentication",
20487,contoso.com\pherrera,UnknownTemplate,Paul Herrera,"CN=Paul Herrera, OU=Marketing, DC=intra.contoso.local","UPN:pherrera@contoso.com, RFC822:pherrera@contoso.com",UnknownUsage,2023-04-18 14:37:28,2025-04-17 14:37:28,1000198,2023-04-18 14:37:28,Issued,UnknownUsage,
21401,contoso.com\katieb,AdminCertificate,Katie Beltran,"CN=Katie Beltran, OU=Operations, DC=intra.contoso.local","RFC822:katieb@contoso.com, URI:https://contoso.com/users/katieb","Client Authentication, Any Purpose",2025-01-30 15:16:25,2027-01-30 15:16:25,1000246,2025-01-30 15:16:25,Issued,"Client Authentication, Any Purpose",
21745,contoso.com\astein,EmailCertificate,Ashley Stein,"CN=Ashley Stein, OU=Finance, DC=intra.contoso.local","RFC822:astein@contoso.com, UPN:astein@contoso.com",Secure Email,2023-03-24 06:53:32,2025-03-23 06:53:32,1000668,2023-03-24 06:53:32,Issued,Secure Email,
21133,contoso.com\csmith,AdminCertificate,Christopher Smith,"CN=Christopher Smith, OU=Sales, DC=intra.contoso.local","RFC822:csmith@contoso.com, UPN:csmith@contoso.com, UPN:csmith@contoso.com","Client Authentication, Any Purpose",2024-04-04 05:34:13,2026-04-04 05:34:13,1000963,2024-04-04 05:34:13,Issued,"Client Authentication, Any Purpose",
