RequestID,RequesterName,CertificateTemplate,CertificateIssuedCommonName,CertificateSubject,CertificateSANs,EnhancedKeyUsage,CertificateValidityStart,CertificateValidityEnd,SerialNumber,RequestSubmissionTime,RequestDisposition,EKU,Abuse_Flag
18778,contoso.com\terri.allen,VPNCertificate,Terri Allen,"CN=Terri Allen, OU=Marketing, DC=intra.contoso.local","RFC822:terri.allen@contoso.com, UPN:terri.allen@contoso.com, URI:https://contoso.com/users/terri.allen",Client Authentication,2024-05-08 04:26:33,2026-05-08 04:26:33,1000000,2024-05-08 04:26:33,Issued,Client Authentication,0
29494,contoso.com\lance.collins,UserCertificate,Lance Collins,"CN=Lance Collins, OU=HR, DC=intra.contoso.local",UPN:lance.collins@contoso.com,"Client Authentication, Secure Email",2023-10-13 22:01:37,2025-10-12 22:01:37,1000001,2023-10-13 22:01:37,Issued,"Client Authentication, Secure Email",0
26708,contoso.com\mar-pc295$,EmailCertificate,mar-pc295.intra.contoso.local,CN=mar-pc295.intra.contoso.local,"DNS:mar-pc295.intra.contoso.local, IP:192.168.112.30, IP:172.19.174.176",Secure Email,2023-11-16 11:31:34,2025-11-15 11:31:34,1000002,2023-11-16 11:31:34,Issued,Secure Email,0
27861,contoso.com\ebuckley,DomainControllerCertificate,Edward Buckley,"CN=Edward Buckley, OU=Engineering, DC=intra.contoso.local",UPN:ebuckley@contoso.com,"Client Authentication, Server Authentication",2024-11-12 23:58:41,2026-11-12 23:58:41,1000003,2024-11-12 23:58:41,Issued,"Client Authentication, Server Authentication",0
13541,contoso.com\ambercruz,AdminCertificate,Amber Cruz,"CN=Amber Cruz, OU=Finance, DC=intra.contoso.local","RFC822:ambercruz@contoso.com, UPN:ambercruz@contoso.com","Client Authentication, Any Purpose",2024-02-17 01:23:22,2026-02-16 01:23:22,1000004,2024-02-17 01:23:22,Issued,"Client Authentication, Any Purpose",0
21909,contoso.com\ope-pc259$,DomainControllerCertificate,ope-pc259.intra.contoso.local,CN=ope-pc259.intra.contoso.local,"IP:10.243.97.195, IP:10.81.75.69, DNS:ope-pc259.intra.contoso.local","Client Authentication, Server Authentication",2023-08-16 03:33:57,2025-08-15 03:33:57,1000005,2023-08-16 03:33:57,Issued,"Client Authentication, Server Authentication",0
21470,contoso.com\samantha.rogers,CodeSigningCertificate,Samantha Rogers,"CN=Samantha Rogers, OU=Operations, DC=intra.contoso.local",URI:https://contoso.com/users/samantha.rogers,Code Signing,2023-03-27 19:23:56,2025-03-26 19:23:56,1000006,2023-03-27 19:23:56,Issued,Code Signing,0
19695,contoso.com\eng-pc661$,DomainControllerCertificate,eng-pc661.intra.contoso.local,CN=eng-pc661.intra.contoso.local,"DNS:eng-pc661.intra.contoso.local, DNS:eng-pc661.intra.contoso.local, IP:192.168.41.233","Client Authentication, Server Authentication",2023-12-16 02:15:54,2025-12-15 02:15:54,1000007,2023-12-16 02:15:54,Issued,"Client Authentication, Server Authentication",0
22791,contoso.com\connor.carter,UserCertificate,Connor Carter,"CN=Connor Carter, OU=Operations, DC=intra.contoso.local","URI:https://contoso.com/users/connor.carter, RFC822:connor.carter@contoso.com","Client Authentication, Secure Email",2023-03-24 04:38:29,2025-03-23 04:38:29,1000008,2023-03-24 04:38:29,Issued,"Client Authentication, Secure Email",0
21686,contoso.com\gsmith,AdminCertificate,Gina Smith,"CN=Gina Smith, OU=Sales, DC=intra.contoso.local","UPN:gsmith@contoso.com, URI:https://contoso.com/users/gsmith","Client Authentication, Any Purpose",2024-12-11 23:53:42,2026-12-11 23:53:42,1000009,2024-12-11 23:53:42,Issued,"Client Authentication, Any Purpose",0
